(1a5,385) (2ed,385)
(1b01,21bf) (17a1,21bf)
(61f,5057) (2b87,5057)
(b033,daa5) (acd3,daa5)
(1db1,360d) (3391,360d)
(78b,2a29) (1b3b,2a29)
(1af,457) (1d7,457)
(1155,447d) (111d,447d)
(b41,f13) (861,f13)
(3a1,a15) (321,a15)
(1e9b,21a3) (a2b,21a3)
(1d5d,21a3) (1bdd,21a3)
(fa9,38bf) (379,38bf)
(3ef3,52d9) (29f3,52d9)
(e1b,1295) (5e7,1295)
(481f,7a8d) (85f,7a8d)
(1fd3,2939) (228b,2939)
(e25,1399) (29d,1399)
(22d9,2569) (b69,2569)
(4f43,70eb) (582b,70eb)
(331,4c3) (471,4c3)
(2785,5b51) (474d,5b51)
(115,143) (9d,143)
(67,c7d) (26b,c7d)
(404f,4331) (303b,4331)
(1beb,23cf) (1633,23cf)
(26f,4af) (20f,4af)
(a33,b17) (3b,b17)
(3d5b,c4fd) (10bb,c4fd)
(e17,255b) (e77,255b)
(2471,25e5) (13f1,25e5)
(303b,8c71) (63b3,8c71)
(be3,f61) (9a3,f61)
(c2ff,d5b3) (473f,d5b3)
(3c1,9cb) (541,9cb)
(a07,1493) (977,1493)
(b9b,ccd) (13,ccd)
(121f,6749) (39df,6749)
(e59,460d) (282d,460d)
(16f3,2e7b) (128b,2e7b)
(fb5,669d) (639d,669d)
(83f,a2b) (80f,a2b)
(bed,e53) (c65,e53)
(5bf,72d) (3a3,72d)
(82d,973) (6b5,973)
(2ee1,3875) (2fa1,3875)
(11ab,733f) (1d03,733f)
(3101,6a55) (2795,6a55)
(78f1,8e27) (6811,8e27)
(1f,1097) (6af,1097)
(2daf,2f9f) (1f3f,2f9f)
(203,e63) (aeb,e63)
(fb,2e1) (47,2e1)
(f2f,1811) (71f,1811)
(1231,174b) (13b1,174b)
(419,1d5f) (1ca9,1d5f)
(fc9,1219) (7f9,1219)
(1a17,2645) (11a7,2645)
(1073,12f5) (a97,12f5)
(405,f13) (c2d,f13)
(3955,3bef) (a75,3bef)
(2171,2d8b) (22b1,2d8b)
(439,521) (79,521)
(a7f,2461) (3d7,2461)
(1291,773b) (26d1,773b)
(4dbd,8713) (364d,8713)
(4e73,6959) (416b,6959)
(121d,15d3) (55d,15d3)
(2c99,3df1) (3749,3df1)
(127,2cc5) (9f7,2cc5)
(67,1555) (d3f,1555)
(bf9,e1b) (761,e1b)
(2519,9089) (7379,9089)
(27cd,caf7) (c145,caf7)
(2e49,31a3) (18b9,31a3)
(5af7,b975) (54c7,b975)
(1cfb,a95d) (828b,a95d)
(d03,f77) (a7b,f77)
(22d,87b) (6f5,87b)
(6d7,b71) (6d7,b71)
(59,197f) (3a1,197f)
(632b,81c5) (3b83,81c5)
(983,ba7) (6cb,ba7)
(6d,fd) (6d,fd)
(57ef,5c23) (1cc7,5c23)
(2173,286d) (a93,286d)
(2b1,5b51) (4451,5b51)
(714b,daa5) (c5f,daa5)
(3b95,773b) (38dd,773b)
(187,3233) (2c2f,3233)
(12e7,2293) (a17,2293)
(1aab,2081) (da3,2081)
(7f7,e0f) (86f,e0f)
(e59,1ded) (114d,1ded)
(9f5,7a51) (538d,7a51)
(997d,cee1) (ae71,cee1)
(26c5,5881) (e1d,5881)
(16af,b177) (1f07,b177)
(289,62c3) (eb9,62c3)
(c1,4f7) (421,4f7)
(1b71,213d) (17e1,213d)
(1e2f,21b9) (bcf,21b9)
(9ef,1a65) (c2f,1a65)
(1aad,2ddd) (c91,2ddd)
(231,1447) (5b1,1447)
(2bd,ca1) (8d5,ca1)
(709,911) (4b1,911)
(fb,d33) (69b,d33)
(140b,37db) (3193,37db)
(419,3233) (1481,3233)
(287,b17) (557,b17)
(357b,709d) (1163,709d)
(4ed,a8d) (25,a8d)
(1115,59d7) (18ad,59d7)
(3f2b,41c5) (3e83,41c5)
(42d,2039) (1e25,2039)
(13e3,22b1) (10d7,22b1)
(46bb,8653) (2803,8653)
(4c57,7433) (967,7433)
(d49,3e47) (1061,3e47)
(67,1e11) (367,1e11)
(1bdd,6dc7) (2e6d,6dc7)
(83f,1493) (41f,1493)
(2f65,6433) (20cd,6433)
(1c0f,28f1) (13b7,28f1)
(2ab,1643) (13a3,1643)
(e29,1687) (199,1687)
(1e7,1ed9) (cd7,1ed9)
(1dd,a15) (675,a15)
(527,725) (347,725)
(7e9,c1f) (441,c1f)
(24d,10d9) (8f5,10d9)
(f4d,1751) (191,1751)
(647,3937) (3677,3937)
(1d87,1f37) (7f7,1f37)
(95,1d9) (185,1d9)
(5bf,7ff) (5df,7ff)
(b5f,4249) (38c3,4249)
(118d,3691) (485,3691)
(2cad,4793) (175,4793)
(8a5,8b1b) (6ded,8b1b)
(23e7,85e5) (713,85e5)
(13,8f) (13,8f)
(6ed7,aeaf) (5027,aeaf)
(1ce1,5369) (f25,5369)
(1373,1579) (69b,1579)
(17d5,4b5b) (4205,4b5b)
(f47,15e9) (96b,15e9)
(4a7d,5153) (4735,5153)
(1591,3053) (1591,3053)
(89f,1c37) (f8f,1c37)
(58d3,733f) (1be3,733f)
(621,973) (5d1,973)
(757,1c37) (11a7,1c37)
(abf,17dd) (14bf,17dd)
(4e33,6ecb) (6bbb,6ecb)
(1647,3817) (27d7,3817)
(1297,171d) (2a7,171d)
(119b,1691) (f73,1691)
(3a1,56c5) (47e1,56c5)
(9bb1,e087) (5db9,e087)
(103,887) (59b,887)
(1e7,ad3) (6f7,ad3)
(1c87,7e8f) (232f,7e8f)
(59f5,5ee1) (2861,5ee1)
(5c1,99d) (619,99d)
(2dd,ccd) (8b5,ccd)
(1c9,319) (229,319)
(829,96d) (481,96d)
(28e7,2eff) (1287,2eff)
(2077,64bb) (4e67,64bb)
(443b,93cd) (59b3,93cd)
(2e3,473) (20b,473)
(4acf,896f) (623f,896f)
(47d,f8b) (a2d,f8b)
(51df,67b5) (4f87,67b5)
(1d87,78d1) (22c7,78d1)
(37b7,4921) (607,4921)
(1715,2591) (2291,2591)
(17b,2b1) (a3,2b1)
(4f,6e3) (13f,6e3)
(449,70f) (401,70f)
(32dd,aca5) (9175,aca5)
(71ef,a661) (5233,a661)
(18af,2be1) (e73,2be1)
(164b,b7eb) (6a5b,b7eb)
(2ed9,339d) (1709,339d)
(5dcb,9967) (29a3,9967)
(583,1c03) (e6b,1c03)
(317,f3d) (27f,f3d)
(11f9,347f) (16a9,347f)
(69f,5101) (2d1f,5101)
(379,2311) (955,2311)
(5f3,61bd) (124f,61bd)
(759d,896f) (7e85,896f)
(a8d,63f7) (48fd,63f7)
(21d,701) (439,701)
(1f5,3d3) (21d,3d3)
(211,383) (121,383)
(5c8f,5ef3) (22ff,5ef3)
(29b,3bcf) (fa3,3bcf)
(63d,1a6f) (17f5,1a6f)
(cb5,1535) (135d,1535)
(437f,cb0f) (5897,cb0f)
(4e73,867b) (5b4b,867b)
(7835,ce9b) (5ead,ce9b)
(209,1c91) (1361,1c91)
(2315,a1e9) (4bdd,a1e9)
(14b5,267d) (b15,267d)
(6a5,1627) (d95,1627)
(de5,21ad) (cad,21ad)
(387d,4769) (1be5,4769)
(799,c4f) (8c9,c4f)
(2249,2677) (15d1,2677)
(29b,1d93) (433,1d93)
(5ac7,bcbf) (9faf,bcbf)
(797,3a5d) (23ff,3a5d)
(4db,1c37) (6d3,1c37)
(29a5,752f) (4205,752f)
(23d,15f1) (615,15f1)
(3fcd,54bb) (26dd,54bb)
(1e71,2933) (1d99,2933)
(1079,2249) (17a5,2249)
(1c45,2cc5) (ded,2cc5)
(d7,673) (287,673)
(317b,5aad) (33d3,5aad)
(12a1,30f5) (11b1,30f5)
(81b,125b) (90b,125b)
(907,3a19) (493,3a19)
(5a9b,9485) (4a93,9485)
(16d,99d) (8a9,99d)
(491f,ab23) (52df,ab23)
(b57,3ccb) (1c1f,3ccb)
(961,e81) (85,e81)
(190f,21bf) (1d17,21bf)
(355,1cab) (8bd,1cab)
(7e7,12d3) (3c7,12d3)
(2f57,598f) (2827,598f)
(e7b,114d) (74f,114d)
(18b,c7d) (947,c7d)
(719,5101) (329,5101)
(3257,3bef) (23b7,3bef)
(1cc9,2941) (7a1,2941)
(2537,2eff) (1b17,2eff)
(53d,63e5) (3825,63e5)
(423,d09) (257,d09)
(d37,1b7d) (14cf,1b7d)
(831,c37) (169,c37)
(1591,46ab) (4429,46ab)
(3821,6e27) (3131,6e27)
(2803,64fd) (2587,64fd)
(3251,773b) (3391,773b)
(22cd,2569) (545,2569)
(971,1af5) (e09,1af5)
(2c5,485) (1ed,485)
(3631,553f) (f91,553f)
(2173,255b) (1cdb,255b)
(5bad,682f) (1afd,682f)
(4697,4de3) (170f,4de3)
(141,1e97) (691,1e97)
(3545,7eb5) (755,7eb5)
(3bb,6433) (15f3,6433)
(c8f,2933) (b0f,2933)
(114d,13c7) (114d,13c7)
(2005,43d3) (2acd,43d3)
(1cf7,47e7) (19c7,47e7)
(af7,1303) (e9f,1303)
(3251,4195) (2efd,4195)
(4c75,5ec1) (1015,5ec1)
(18a9,459b) (20d1,459b)
(1927,8659) (5293,8659)
(21c1,2707) (1f81,2707)
(27b,485) (2f3,485)
(1961,2461) (5d5,2461)
(9c7,126d) (f17,126d)
(19cf,2455) (102f,2455)
(aab7,b251) (7eb,b251)
(1ab,a0d) (58f,a0d)
(623,afd) (90b,afd)
(eff,fdd) (3bf,fdd)
(331,ab7) (391,ab7)
(1349,2ffb) (24d9,2ffb)
(353,6e9) (5ab,6e9)
(49f1,8fff) (6611,8fff)
(d1f,2711) (245f,2711)
(b5,917) (81d,917)
(1083,250f) (2053,250f)
(3b4b,7c85) (3c3b,7c85)
(26b,47b) (1f3,47b)
(19,7e5) (21d,7e5)
(b1,2551) (22d1,2551)
(caa5,d1ef) (744d,d1ef)
(93b,c3b) (593,c3b)
(c21,78f7) (4e89,78f7)
(ddf,ea5) (77f,ea5)
(2e7,a0d) (593,a0d)
(15b9,17db) (cd1,17db)
(1c9,4a5) (1d9,4a5)
(119,1b13) (cb1,1b13)
(927,9e5) (297,9e5)
(a9db,afa9) (a453,afa9)
(805,1d45) (361,1d45)
(503,2447) (3b3,2447)
(22a9,8b25) (84ad,8b25)
(18d,52d9) (b1d,52d9)
(1e2f,5c9f) (161f,5c9f)
(4d5f,5f1b) (1b1f,5f1b)
(eeb,168d) (ec3,168d)
(94f,e03) (8ef,e03)
(cef,50cf) (bf,50cf)
(3b89,5bed) (2559,5bed)
(b8d,4a63) (1d15,4a63)
(22a9,42d7) (3419,42d7)
(37a7,64cf) (3f5f,64cf)
(21b,289) (63,289)
(1f1b,38ab) (2a73,38ab)
(6701,7c57) (f89,7c57)
(719,a27) (1c9,a27)
(392b,59b9) (542b,59b9)
(234d,2785) (1c69,2785)
(2225,666b) (5d1d,666b)
(81d,c43) (295,c43)
(88f7,aadb) (287f,aadb)
(238d,41b1) (1edd,41b1)
(10f,589) (2bf,589)
(1391,14bf) (511,14bf)
(187,575) (4cf,575)
(6a7,fbf) (257,fbf)
(87b,e0f) (d2b,e0f)
(a8d,396d) (385,396d)
(3efb,4cd9) (42d3,4cd9)
(2a3,c4f) (89b,c4f)
(817,2917) (2167,2917)
(7ff,1fdf) (c1f,1fdf)
(6d69,89bf) (5ed1,89bf)
(37d,8d7) (755,8d7)
(dd03,e087) (2723,e087)
(2ab,3ded) (34d7,3ded)
(18bd,1ea9) (1285,1ea9)
(1427,2ac7) (10d7,2ac7)
(739,ed7) (621,ed7)
(ce3,26d7) (1be3,26d7)
(51,13f) (79,13f)
(db7,1439) (8cb,1439)
(895d,9089) (4025,9089)
(3d2f,4db9) (38bf,4db9)
(2117,4769) (3c47,4769)
(290b,373d) (1f03,373d)
(209,7f1) (665,7f1)
(d49,20bf) (16a9,20bf)
(b,9cd) (1a3,9cd)
(89f,1447) (6ef,1447)
(e1d,1165) (6b5,1165)
(dc7,37db) (2abf,37db)
(4cd,863) (725,863)
(937,3f47) (1387,3f47)
(280f,765d) (44ef,765d)
(75d,4921) (2cf5,4921)
(6d27,7055) (1597,7055)
(93,391) (1cf,391)
(243,b17) (74b,b17)
(1cb7,20bf) (79f,20bf)
(15d3,1e11) (11e3,1e11)
(1085,378b) (13cd,378b)
(5977,65c3) (5c17,65c3)
(701,9b3) (881,9b3)
(270d,34c7) (565,34c7)
(2041,4267) (1ec1,4267)
(5b1,1c91) (bed,1c91)
(56c3,8b25) (7e23,8b25)
(7ab,e99) (403,e99)
(1d9,2bf) (89,2bf)
(56f,12f5) (623,12f5)
(bd3,d15) (6db,d15)
(2a7,835) (13f,835)
(3d87,53e1) (29d7,53e1)
(271,27a3) (1c81,27a3)
(17ff,1e7f) (1277,1e7f)
(1c7b,7a8d) (45d3,7a8d)
(561d,6029) (4459,6029)
(44b,1b1f) (15cb,1b1f)
(6209,867b) (7781,867b)
(3a87,4331) (8b,4331)
(508f,c77b) (391f,c77b)
(85,485) (18d,485)
(25bd,3b7d) (a15,3b7d)
(139d,1589) (b75,1589)
(789,c4f) (2d9,c4f)
(13af,347f) (329f,347f)
(159b,a661) (326f,a661)
(1bb,29f) (6b,29f)
(23ad,292d) (240d,292d)
(51ef,7eb5) (6137,7eb5)
(257f,33af) (577,33af)
(c0b,1d0f) (27b,1d0f)
(10bd,1579) (771,1579)
(1ac9,e0ff) (1499,e0ff)
(3dfd,96b3) (8345,96b3)
(3b,ac7) (b3,ac7)
(8ab,c7d) (aaf,c7d)
(1253,2455) (e7f,2455)
(389,452f) (1ee9,452f)
(2b71,d3ed) (94b5,d3ed)
(bb3,382d) (1c1b,382d)
(6f7,88d) (56b,88d)
(f7,13f) (107,13f)
(557,6e9) (107,6e9)
(41,f7) (71,f7)
(12b,360d) (2f43,360d)
(28f3,4c37) (3efb,4c37)
(92f,1d93) (68f,1d93)
(a61,15f1) (3e1,15f1)
(a45,278b) (196d,278b)
(821b,9967) (266b,9967)
(7171,7757) (2f71,7757)
(8561,9179) (391d,9179)
(215f,347f) (d4f,347f)
(41,589) (3d1,589)
(29bf,533f) (2d67,533f)
(523,14bf) (32b,14bf)
(3e97,68e9) (5e17,68e9)
(38d,1bb5) (1625,1bb5)
(7d53,91cf) (7a0b,91cf)
(169,2ff) (f1,2ff)
(21d,32e7) (2dd,32e7)
(bc5,12d3) (d45,12d3)
(57f,128b) (ab7,128b)
(2845,3b69) (45d,3b69)
(2d55,5405) (153d,5405)
(26a1,67b5) (4c5d,67b5)
(4a7,1465) (c9b,1465)
(a91d,b34d) (5075,b34d)
(20a5,2645) (82d,2645)
(2fdb,404f) (1163,404f)
(379,6a55) (79,6a55)
(1849,57fb) (de1,57fb)
(180d,27f5) (23c5,27f5)
(3ed,9e5) (225,9e5)
(123f,2533) (7cf,2533)
(178f,1e3b) (1d2f,1e3b)
(1b3d,4d11) (12e5,4d11)
